,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Error Count,avg millis/doc,Macro F1 QALD
0,0.9875,0.9971,0.9781,0.9850999999999999,0.9854,0.9848,0.0,0.0,0.9850999999999999
1,0.9666,0.9354,1.0,0.9817,0.9678999999999999,1.0,0.0,,
2,0.959,0.9212,1.0,0.9793999999999999,0.9643,1.0,0.0,,
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
