,Annotator,Dataset,Language,Unnamed: 3,Micro F1,Micro Precision,Micro Recall,Macro F1,Macro Precision,Macro Recall,Error Count,avg millis/doc,Macro F1 QALD,Timestamp,GERBIL version
0,system (uploaded),dataset (uploaded),en,,0.9906,0.9979,0.9835,0.9881,0.9893,0.9869,0,0.0,0.9881,2025-07-15 20:11:36,0.2.5
1,system (uploaded),dataset (uploaded),en,C2KB,0.9615,0.9259,1.0,0.9786,0.9619,1.0,0,,,2025-07-15 20:11:36,0.2.5
2,system (uploaded),dataset (uploaded),en,P2KB,0.9539,0.9119,1.0,0.976,0.9587,1.0,0,,,2025-07-15 20:11:36,0.2.5
3,system (uploaded),dataset (uploaded),en,RE2KB,1.0,1.0,1.0,1.0,1.0,1.0,0,,,2025-07-15 20:11:36,0.2.5
